0:0:0:0:0:0:0:1 - - [07/Mar/2016:13:21:58 +0800] "GET /StudentMsg/index.jsp HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [07/Mar/2016:13:23:16 +0800] "GET /StudentMsg/sc.jsp HTTP/1.1" 200 665
0:0:0:0:0:0:0:1 - - [07/Mar/2016:13:23:16 +0800] "GET /StudentMsg/index.jsp HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [07/Mar/2016:18:13:32 +0800] "GET /StudentMsg/main.jsp HTTP/1.1" 200 777
0:0:0:0:0:0:0:1 - - [07/Mar/2016:18:13:35 +0800] "GET /StudentMsg/DELServlet?sno=1001 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Mar/2016:18:13:40 +0800] "GET /StudentMsg/add.jsp HTTP/1.1" 200 896
0:0:0:0:0:0:0:1 - - [07/Mar/2016:18:13:46 +0800] "POST /StudentMsg/AddServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Mar/2016:18:13:53 +0800] "GET /StudentMsg/index.jsp HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [07/Mar/2016:18:13:53 +0800] "GET /StudentMsg/main.jsp HTTP/1.1" 200 777
0:0:0:0:0:0:0:1 - - [07/Mar/2016:18:13:55 +0800] "GET /StudentMsg/index.jsp HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [07/Mar/2016:18:13:56 +0800] "GET /StudentMsg/course.jsp HTTP/1.1" 200 665
0:0:0:0:0:0:0:1 - - [07/Mar/2016:18:13:57 +0800] "GET /StudentMsg/index.jsp HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [07/Mar/2016:18:13:58 +0800] "GET /StudentMsg/sc.jsp HTTP/1.1" 200 665
0:0:0:0:0:0:0:1 - - [07/Mar/2016:18:13:59 +0800] "GET /StudentMsg/index.jsp HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [07/Mar/2016:18:14:01 +0800] "GET /StudentMsg/main.jsp HTTP/1.1" 200 777
0:0:0:0:0:0:0:1 - - [07/Mar/2016:18:14:02 +0800] "GET /StudentMsg/index.jsp HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [07/Mar/2016:18:14:03 +0800] "GET /StudentMsg/course.jsp HTTP/1.1" 200 665
0:0:0:0:0:0:0:1 - - [07/Mar/2016:18:14:04 +0800] "GET /StudentMsg/index.jsp HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [07/Mar/2016:18:36:04 +0800] "GET /StudentMsg/sc.jsp HTTP/1.1" 200 665
0:0:0:0:0:0:0:1 - - [07/Mar/2016:18:36:06 +0800] "GET /StudentMsg/index.jsp HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [07/Mar/2016:18:37:35 +0800] "GET /StudentMsg/sc.jsp HTTP/1.1" 200 665
0:0:0:0:0:0:0:1 - - [07/Mar/2016:18:37:36 +0800] "GET /StudentMsg/index.jsp HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [07/Mar/2016:18:37:36 +0800] "GET /StudentMsg/course.jsp HTTP/1.1" 200 665
0:0:0:0:0:0:0:1 - - [07/Mar/2016:18:37:37 +0800] "GET /StudentMsg/index.jsp HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [07/Mar/2016:18:37:38 +0800] "GET /StudentMsg/main.jsp HTTP/1.1" 200 777
0:0:0:0:0:0:0:1 - - [07/Mar/2016:18:38:00 +0800] "GET /StudentMsg/add.jsp HTTP/1.1" 200 896
0:0:0:0:0:0:0:1 - - [07/Mar/2016:18:38:49 +0800] "POST /StudentMsg/AddServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2016:18:38:49 +0800] "GET /StudentMsg/main.jsp HTTP/1.1" 200 1046
0:0:0:0:0:0:0:1 - - [07/Mar/2016:18:39:30 +0800] "GET /StudentMsg/DELServlet?sno=1002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2016:18:39:30 +0800] "GET /StudentMsg/main.jsp HTTP/1.1" 200 777
0:0:0:0:0:0:0:1 - - [07/Mar/2016:18:40:09 +0800] "GET /StudentMsg/update.jsp?sno=1001%20%20%20%20%20%20%20%20&sname=?????????&ssex=??¡¤&sdept=?????? HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [07/Mar/2016:18:40:49 +0800] "POST /StudentMsg/UpdateServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Mar/2016:18:41:00 +0800] "POST /StudentMsg/UpdateServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Mar/2016:18:41:10 +0800] "POST /StudentMsg/UpdateServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2016:18:41:10 +0800] "GET /StudentMsg/main.jsp HTTP/1.1" 200 777
0:0:0:0:0:0:0:1 - - [07/Mar/2016:18:41:15 +0800] "GET /StudentMsg/update.jsp?sno=1001%20%20%20%20%20%20%20%20&sname=?????????&ssex=??¡¤&sdept=???¨¨?? HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [07/Mar/2016:18:45:18 +0800] "POST /StudentMsg/UpdateServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2016:18:45:18 +0800] "GET /StudentMsg/main.jsp HTTP/1.1" 200 777
0:0:0:0:0:0:0:1 - - [07/Mar/2016:18:45:54 +0800] "GET /StudentMsg/index.jsp HTTP/1.1" 200 479
